Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
4.26e-07,0.382543,0.383972,-0.0118277,-0.00255663,0.0203879,0.124792
0.00276451,0.382548,0.384025,-0.00276176,0.0205625,0.683401,0.150804
0.0048844,0.382891,0.384294,0.125519,0.100764,-0.499497,-0.689177
0.00703679,0.383212,0.384377,0.123649,0.04205,-0.85133,-0.852621
0.0093026,0.382569,0.383533,-0.18844,-0.27511,-0.822138,-0.880997
0.0113608,0.381209,0.382094,-0.520809,-0.572791,-0.863623,-0.902162
0.0132461,0.379427,0.380374,-0.799524,-0.790612,-0.899784,-0.894419
0.0151359,0.377141,0.378375,-1.02914,-0.969277,-0.914589,-0.877442
0.0169791,0.374883,0.376047,-1.18966,-1.15108,-0.858923,-0.895304
0.0188891,0.372101,0.373358,-1.32058,-1.33763,-0.897104,-0.914032
0.0207271,0.36953,0.370536,-1.41273,-1.5061,-0.920429,-0.8984
0.0224937,0.366807,0.367406,-1.50171,-1.60359,-0.888012,-0.928576
0.0243689,0.363704,0.364231,-1.60225,-1.66058,-0.91106,-0.899818
0.0262283,0.360433,0.361163,-1.69689,-1.71286,-0.922945,-0.905127
0.0280158,0.356959,0.35782,-1.79531,-1.75808,-0.911539,-0.911675
0.0298673,0.353701,0.354306,-1.83178,-1.83203,-0.956243,-0.875683
0.0317522,0.350168,0.350703,-1.86741,-1.88604,-0.894594,-0.921843
0.0336197,0.346572,0.347056,-1.90223,-1.92553,-0.914803,-0.889536
0.035498,0.342903,0.343338,-1.93773,-1.96332,-0.878247,-0.94473
0.0373349,0.3391,0.339902,-1.99291,-1.96505,-0.924638,-0.872683
0.0391278,0.33551,0.336189,-2.02813,-1.97297,-0.921663,-0.903685
0.0409968,0.33158,0.332479,-2.06978,-1.97996,-0.755999,-0.78146
0.0429069,0.327515,0.328829,-2.04331,-1.95964,-0.541061,-0.834735
0.0447328,0.324173,0.325256,-1.95884,-1.9258,-0.411196,-0.744242
0.046616,0.320846,0.321732,-1.844,-1.89581,-0.651951,-0.684191
0.0484971,0.317475,0.318381,-1.82111,-1.82609,-0.626508,-0.712456
0.0503817,0.314021,0.315112,-1.83373,-1.77455,-0.607885,-0.688565
0.0522475,0.310823,0.311807,-1.74974,-1.76578,-0.455344,-0.778242
0.0541196,0.307939,0.30855,-1.61025,-1.74611,-0.678802,-0.746137
0.0559961,0.305163,0.305332,-1.53397,-1.72363,-0.697109,-0.622315
0.0578698,0.30225,0.302306,-1.54865,-1.65051,-0.741915,-0.676356
0.059736,0.29932,0.299523,-1.55442,-1.61399,-0.710977,-0.734324
0.061584,0.296601,0.296605,-1.48013,-1.57734,-0.706843,-0.830335
0.0635001,0.294087,0.293581,-1.38819,-1.53078,-0.796167,-0.786266
0.0653823,0.291574,0.290959,-1.30181,-1.44445,-0.955814,-0.761606
0.0672526,0.289321,0.288497,-1.29631,-1.36116,-0.938585,-0.922304
0.0691181,0.286881,0.286085,-1.29524,-1.31457,-0.911797,-0.954269
0.071011,0.284403,0.283709,-1.25896,-1.27835,-0.931913,-0.903352
0.0728561,0.282314,0.281598,-1.21838,-1.23427,-0.926404,-0.933559
0.0747236,0.280154,0.279473,-1.17627,-1.16694,-0.913489,-0.948705
0.0764919,0.278218,0.277384,-1.12892,-1.13002,-0.915138,-0.910568
0.0783708,0.276209,0.275352,-1.09132,-1.09843,-0.923306,-0.923751
0.0802446,0.274178,0.273455,-1.08394,-1.04191,-0.930789,-0.929459
0.0821475,0.272119,0.271665,-1.04889,-0.987594,-0.92868,-0.926343
0.0841365,0.270181,0.269798,-0.991225,-0.950636,-0.940466,-0.929905
0.0862657,0.26829,0.267911,-0.923693,-0.907586,-0.927705,-0.920273
0.0881207,0.266754,0.266365,-0.896566,-0.856386,-0.918629,-0.927009
0.0899977,0.265151,0.264851,-0.869252,-0.824613,-0.948006,-0.932993
0.0918705,0.263615,0.26339,-0.833884,-0.793085,-0.912559,-0.930629
0.0937428,0.262224,0.261985,-0.773937,-0.764233,-0.933281,-0.937826
0.0956274,0.260933,0.260666,-0.715852,-0.726611,-0.91795,-0.910022
0.0974906,0.25969,0.259417,-0.678584,-0.684329,-0.914261,-0.928616
0.0993858,0.258427,0.258196,-0.672058,-0.666097,-0.948217,-0.91454
0.101232,0.257189,0.257108,-0.6627,-0.636779,-0.915304,-0.913354
0.10299,0.256068,0.256047,-0.649855,-0.590429,-0.931172,-0.91981
0.104869,0.254983,0.254974,-0.599981,-0.580523,-0.900762,-0.951929
0.106747,0.254027,0.253961,-0.545115,-0.554543,-0.908038,-0.950373
0.10864,0.253031,0.252974,-0.514686,-0.535686,-0.924746,-0.908284
0.110483,0.252114,0.252033,-0.51976,-0.517447,-0.927126,-0.8973
0.112161,0.251251,0.251297,-0.528179,-0.50268,-0.919916,-0.903257
0.113534,0.250542,0.250575,-0.522897,-0.514303,-0.92727,-0.921778
0.114908,0.249858,0.249888,-0.508063,-0.506118,-0.92657,-0.919336
0.116284,0.249143,0.249218,-0.513524,-0.495632,-0.936061,-0.925939
0.117661,0.248495,0.248492,-0.491724,-0.510089,-0.925103,-0.927311
0.119034,0.247821,0.247809,-0.494227,-0.503336,-0.917608,-0.937007
0.120437,0.247138,0.247128,-0.473671,-0.500113,-0.895804,-0.931147
0.121783,0.246549,0.246431,-0.474058,-0.504289,-0.898738,-0.934283
0.123169,0.245891,0.245754,-0.457429,-0.498504,-0.930391,-0.918513
0.124536,0.245291,0.245074,-0.469052,-0.495106,-0.924644,-0.924435
0.125908,0.244655,0.244414,-0.466764,-0.485465,-0.91299,-0.890277
0.127285,0.244028,0.243744,-0.463285,-0.487749,-0.918432,-0.931452
0.128657,0.243413,0.243077,-0.453688,-0.48732,-0.919641,-0.921622
0.130035,0.242784,0.242431,-0.455551,-0.47746,-0.924424,-0.938731
0.131413,0.242196,0.241799,-0.442058,-0.468295,-0.931802,-0.925175
0.132783,0.241569,0.241154,-0.447572,-0.467655,-0.933394,-0.924169
0.134161,0.240961,0.240514,-0.44249,-0.468847,-0.938242,-0.93186
0.135533,0.240328,0.239912,-0.451707,-0.451464,-0.908164,-0.930362
0.136908,0.239757,0.239299,-0.431843,-0.446759,-0.90625,-0.935951
0.138285,0.23914,0.238677,-0.438743,-0.450254,-0.903634,-0.934215
0.13966,0.238601,0.238069,-0.416547,-0.446625,-0.921265,-0.912481
0.14103,0.238031,0.237484,-0.415363,-0.436878,-0.913609,-0.924162
0.14241,0.237467,0.236872,-0.411399,-0.442134,-0.931226,-0.908218
0.143785,0.2369,0.236301,-0.413589,-0.430761,-0.90323,-0.916248
0.145162,0.236329,0.235718,-0.414826,-0.430051,-0.933501,-0.905216
0.146535,0.235713,0.235145,-0.414185,-0.421852,-0.914865,-0.913053
0.147908,0.235233,0.234571,-0.398986,-0.419101,-0.927609,-0.927411
0.149282,0.234685,0.234007,-0.398822,-0.412559,-0.931661,-0.91682
0.150659,0.234196,0.233453,-0.374958,-0.408093,-0.915323,-0.910278
0.152032,0.233685,0.232906,-0.372119,-0.403911,-0.922128,-0.92542
0.153415,0.233159,0.232371,-0.378035,-0.397995,-0.911229,-0.925606
0.154785,0.232632,0.231859,-0.379667,-0.384614,-0.927582,-0.936493
0.156163,0.232124,0.231348,-0.374101,-0.379471,-0.908253,-0.930651
0.157535,0.231643,0.230824,-0.359357,-0.379402,-0.909581,-0.929814
0.158909,0.231175,0.230304,-0.350908,-0.379346,-0.914285,-0.938457
0.160284,0.230689,0.229792,-0.35131,-0.375116,-0.916315,-0.913883
0.161659,0.230212,0.229318,-0.34912,-0.360329,-0.911541,-0.919366
0.163033,0.229713,0.228825,-0.355721,-0.359509,-0.921598,-0.929302
0.164412,0.229228,0.228367,-0.354968,-0.347111,-0.906436,-0.921309
0.165784,0.228752,0.227876,-0.350349,-0.35236,-0.930127,-0.892382
0.167162,0.228287,0.227423,-0.345923,-0.342487,-0.904189,-0.915436
0.168533,0.227841,0.22696,-0.334412,-0.339376,-0.928872,-0.920064
0.169909,0.227386,0.226515,-0.334047,-0.332179,-0.927196,-0.936973
0.171284,0.226944,0.226076,-0.327677,-0.326129,-0.92574,-0.911756
0.172661,0.226504,0.225647,-0.322789,-0.319507,-0.920415,-0.909428
0.174037,0.226067,0.225223,-0.322052,-0.312476,-0.933301,-0.923407
0.175409,0.225636,0.224808,-0.316561,-0.307338,-0.908718,-0.912773
0.176783,0.2252,0.224401,-0.316493,-0.300163,-0.914131,-0.916055
0.178162,0.224785,0.22399,-0.308372,-0.297654,-0.927464,-0.930625
0.179533,0.224364,0.223591,-0.308559,-0.291141,-0.927319,-0.932656
0.18091,0.223964,0.223177,-0.301749,-0.296639,-0.901651,-0.931824
0.182286,0.223597,0.222794,-0.283391,-0.287786,-0.908021,-0.92933
0.183658,0.223208,0.222423,-0.284896,-0.280095,-0.915455,-0.929089
0.185034,0.222846,0.222024,-0.274904,-0.28608,-0.903539,-0.929063
0.186411,0.222446,0.221679,-0.28307,-0.267075,-0.926033,-0.915069
0.187786,0.222076,0.221311,-0.277341,-0.267912,-0.926796,-0.906326
0.189163,0.221721,0.220955,-0.266001,-0.26324,-0.915202,-0.900436
0.190536,0.221366,0.220614,-0.262179,-0.252707,-0.924623,-0.921059
0.191908,0.221018,0.220252,-0.260107,-0.257304,-0.900761,-0.908225
0.193285,0.220693,0.219916,-0.249155,-0.251602,-0.924187,-0.930753
0.194664,0.220381,0.219599,-0.237555,-0.240924,-0.922797,-0.92873
0.196034,0.220041,0.219271,-0.241377,-0.239741,-0.915173,-0.908637
0.197409,0.219724,0.218947,-0.233583,-0.237377,-0.929109,-0.923737
0.198786,0.219379,0.218619,-0.244089,-0.238081,-0.924712,-0.900283
0.200162,0.219092,0.218334,-0.226863,-0.222223,-0.927413,-0.927825
0.201534,0.218803,0.218024,-0.217319,-0.222945,-0.918643,-0.915951
0.202912,0.218517,0.217734,-0.21343,-0.218538,-0.929844,-0.917703
0.204284,0.218239,0.217461,-0.206769,-0.208409,-0.927674,-0.925089
0.205662,0.217955,0.217181,-0.204377,-0.205412,-0.922327,-0.913602
0.207038,0.217667,0.216916,-0.206121,-0.200715,-0.936737,-0.927287
0.208445,0.217364,0.216649,-0.206165,-0.196749,-0.912681,-0.914228
0.209792,0.217079,0.216409,-0.208147,-0.183917,-0.931148,-0.929617
0.211172,0.216838,0.216164,-0.192844,-0.178931,-0.919009,-0.923517
0.212536,0.216601,0.21591,-0.190094,-0.181934,-0.917711,-0.935889
0.213909,0.216359,0.215661,-0.182726,-0.182204,-0.925985,-0.926245
0.215285,0.216162,0.215444,-0.161216,-0.170693,-0.905698,-0.923555
0.216658,0.215921,0.215218,-0.167012,-0.16555,-0.911933,-0.923457
0.218034,0.21569,0.215001,-0.167541,-0.16164,-0.9089,-0.945214
0.21941,0.215469,0.214798,-0.162356,-0.153167,-0.920218,-0.914079
0.220782,0.215243,0.214585,-0.16205,-0.152927,-0.928731,-0.921468
0.222164,0.215024,0.214386,-0.157118,-0.150215,-0.920105,-0.92358
0.223536,0.214835,0.214207,-0.145711,-0.139775,-0.900689,-0.922044
0.224911,0.214642,0.214018,-0.141002,-0.138888,-0.919877,-0.930631
0.226286,0.214455,0.21385,-0.138648,-0.131212,-0.917679,-0.904688
0.22766,0.214275,0.213678,-0.135921,-0.127827,-0.92708,-0.921898
0.229037,0.214097,0.213519,-0.133753,-0.121603,-0.929367,-0.922228
0.230409,0.213928,0.213368,-0.127465,-0.117246,-0.924538,-0.915407
0.231787,0.213748,0.213238,-0.13011,-0.10517,-0.91962,-0.915745
0.233161,0.21359,0.213099,-0.124544,-0.10293,-0.903337,-0.907969
0.234534,0.213458,0.212957,-0.109382,-0.102259,-0.924142,-0.909866
0.235906,0.213323,0.212835,-0.102178,-0.0942589,-0.914212,-0.925775
0.237286,0.213194,0.212722,-0.0950249,-0.0853424,-0.919257,-0.912344
0.238659,0.213071,0.212605,-0.0925066,-0.0867208,-0.910394,-0.929192
0.240033,0.212956,0.21251,-0.0867995,-0.0792329,-0.904492,-0.915567
0.241411,0.212843,0.212398,-0.0862854,-0.0801531,-0.923396,-0.906289
0.242786,0.212751,0.212308,-0.0755864,-0.0719183,-0.912007,-0.909117
0.244162,0.212673,0.21223,-0.067279,-0.0640859,-0.9034,-0.913134
0.245535,0.212583,0.212131,-0.0662135,-0.0681726,-0.918979,-0.906539
0.246908,0.21251,0.21205,-0.0567811,-0.0642368,-0.936249,-0.912063
0.248287,0.212454,0.211985,-0.0520798,-0.0575648,-0.921807,-0.927108
0.249655,0.212389,0.211923,-0.0490251,-0.0502781,-0.905036,-0.92044
0.251037,0.21233,0.211863,-0.045799,-0.0466609,-0.923564,-0.926549
0.252412,0.212295,0.211815,-0.0376778,-0.0414119,-0.906976,-0.923937
0.253788,0.212253,0.211784,-0.0342133,-0.0316573,-0.922305,-0.908537
0.255172,0.212216,0.211741,-0.0319409,-0.0306514,-0.916398,-0.92624
0.256534,0.212213,0.211693,-0.0184479,-0.0315343,-0.914882,-0.916447
0.257909,0.212215,0.211677,-0.00830019,-0.0234709,-0.937022,-0.923886
0.25929,0.212151,0.211653,-0.024304,-0.0183189,-0.923111,-0.917378
0.26066,0.212153,0.211653,-0.0111314,-0.00885663,-0.921943,-0.906121
0.262033,0.212156,0.211646,-0.00433648,-0.00831832,-0.945459,-0.922543
0.263409,0.212151,0.211631,-0.00336045,-0.00993323,-0.916155,-0.912205
0.264784,0.212176,0.211659,0.00781542,0.00593278,-0.922427,-0.92191
