Elapsed Time,Phi 1,Phi 2,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
2.22e-07,0.729037,5.59212,0.00140105,0.00383852,0.409196,-0.208227
0.0005816,0.729023,5.59206,0.00183551,-0.00244232,0.372073,-0.238909
0.00131177,0.729021,5.59207,0.00138801,-0.000538692,0.395736,-0.220593
0.00206029,0.728973,5.59204,0.00366044,-0.00145511,0.387578,-0.227549
0.00280746,0.728793,5.59187,0.0158198,-0.0126459,0.327718,-0.259872
0.00355888,0.728626,5.59196,0.0216196,-0.00299366,0.368048,-0.24067
0.00430534,0.728661,5.5919,0.0122663,-0.00528844,0.342606,-0.264947
0.00505787,0.728621,5.59175,0.0108898,-0.0131898,0.352485,-0.253051
0.00580672,0.728735,5.59172,0.00198127,-0.0107087,0.346346,-0.260477
0.0065603,0.728646,5.59172,0.00718922,-0.00711756,0.293993,-0.305936
0.0073086,0.728629,5.59185,0.00595662,0.00393538,0.330331,-0.276893
0.00805588,0.728689,5.59176,4.41158e-05,-0.00336991,0.323385,-0.283367
0.00880463,0.728706,5.59174,-0.00114053,-0.00368656,0.278574,-0.327839
0.00955619,0.728678,5.59174,0.0019957,-0.00269191,0.308182,-0.298033
0.0103073,0.728641,5.59174,0.00378151,-0.00174941,0.300211,-0.305475
0.0110799,0.728634,5.59174,0.00302528,-0.00107513,0.252444,-0.352827
0.0118207,0.728635,5.59166,0.00197009,-0.00628682,0.284815,-0.31967
0.0125806,0.728697,5.59173,-0.00273309,-0.000307726,0.278144,-0.328186
0.0133255,0.728795,5.59168,-0.00926538,-0.00319855,0.23904,-0.371509
0.0140739,0.728805,5.59156,-0.00755128,-0.0120238,0.264144,-0.34132
0.0148229,0.728826,5.59159,-0.00789262,-0.00605585,0.220083,-0.389525
0.0155726,0.728672,5.59146,0.00472774,-0.0139535,0.247235,-0.354681
0.0163221,0.728808,5.59137,-0.00575476,-0.0157416,0.241238,-0.361486
0.0170724,0.728887,5.59141,-0.0106349,-0.0076689,0.201191,-0.410649
0.0178171,0.728682,5.59123,0.0061792,-0.0175856,0.224346,-0.37428
0.0185686,0.72873,5.59106,-0.000321893,-0.0238739,0.21701,-0.379792
0.0193128,0.728852,5.59094,-0.00918389,-0.0236169,0.178962,-0.418368
0.0200653,0.728676,5.5908,0.00522553,-0.0251778,0.200738,-0.391472
0.0208157,0.72872,5.5907,0.00175356,-0.0256546,0.193519,-0.39774
0.0215669,0.728829,5.59064,-0.00616548,-0.0220373,0.154648,-0.44083
0.0223206,0.728746,5.59064,0.000649942,-0.0146352,0.178635,-0.412102
0.0230693,0.728774,5.59057,-0.00164251,-0.0142291,0.171335,-0.41883
0.0238459,0.729003,5.59026,-0.0160175,-0.0308812,0.137046,-0.446301
0.0245959,0.728879,5.59006,-0.00273216,-0.03483,0.156116,-0.428012
0.0253318,0.729016,5.58994,-0.0107564,-0.0321999,0.119558,-0.465737
0.0260745,0.728945,5.58981,-0.00330166,-0.0312351,0.141517,-0.439808
0.0268252,0.728933,5.58954,-0.0023424,-0.0408612,0.13318,-0.443888
0.0275848,0.728876,5.58928,0.00309187,-0.0457004,0.0804364,-0.47192
0.0283298,0.728756,5.58903,0.0105802,-0.047984,0.114657,-0.452155
0.0290968,0.728885,5.58884,0.000157273,-0.0459053,0.108106,-0.457697
0.0298344,0.728838,5.58861,0.00317196,-0.0459761,0.0576845,-0.486383
0.0305737,0.728972,5.5883,-0.00749075,-0.0507444,0.0930936,-0.466043
0.031332,0.728985,5.58797,-0.00632566,-0.0582658,0.084845,-0.469471
0.0320776,0.728971,5.58764,-0.00333007,-0.0630304,0.0558247,-0.482266
0.0328455,0.728856,5.58743,0.00757712,-0.0537396,0.0667537,-0.477577
0.0337091,0.728995,5.58717,-0.00393496,-0.0539929,0.0213159,-0.513447
0.034463,0.729029,5.58676,-0.00491424,-0.064867,0.0510696,-0.485823
0.0352148,0.729033,5.58648,-0.00359782,-0.0646025,0.0428882,-0.489763
0.035939,0.729032,5.58627,-0.00231818,-0.0572451,-0.00341627,-0.519492
0.0366816,0.729029,5.58593,-0.00141853,-0.0585862,0.0267912,-0.497541
0.0376124,0.729027,5.58546,-0.000756355,-0.0723325,0.0162896,-0.501026
0.0383171,0.728997,5.5853,0.00053213,-0.0617787,-0.0304202,-0.532254
0.0390592,0.729097,5.58504,-0.00677782,-0.058996,0.0016413,-0.510417
0.0398043,0.729043,5.58476,-0.00108558,-0.0582248,-0.00717938,-0.514224
0.0405565,0.729028,5.58432,0.000238298,-0.0700228,-0.0581434,-0.529477
0.0413086,0.729024,5.58418,0.000409661,-0.0574276,-0.0238963,-0.522015
0.0420551,0.729053,5.58398,-0.000647856,-0.0520632,-0.069379,-0.55371
0.0428057,0.729105,5.5837,-0.00443648,-0.054697,-0.0390696,-0.531166
0.0435582,0.729154,5.5834,-0.00611053,-0.0574202,-0.0467367,-0.535035
0.0443035,0.729153,5.58322,-0.00377384,-0.0507258,-0.0940076,-0.567803
0.0450594,0.72918,5.58297,-0.00498363,-0.0506252,-0.0624853,-0.544761
0.0458062,0.729214,5.58279,-0.00530214,-0.0454247,-0.0699742,-0.55009
0.0465722,0.72916,5.58252,0.000270894,-0.0491947,-0.123054,-0.577403
0.0473085,0.729174,5.58232,0.000573574,-0.0465237,-0.0866768,-0.559117
0.0480568,0.729166,5.58209,0.00255403,-0.0465684,-0.094846,-0.563689
0.0488694,0.729305,5.58191,-0.0067415,-0.0447467,-0.136426,-0.601954
0.0495555,0.7292,5.58174,0.00357057,-0.042288,-0.110282,-0.574369
0.0503049,0.729304,5.58162,-0.00573427,-0.0371844,-0.116775,-0.580604
0.0510546,0.729313,5.58135,-0.00310236,-0.04294,-0.164441,-0.607476
0.0518063,0.729367,5.5811,-0.00629865,-0.0458084,-0.132293,-0.589349
0.0525564,0.729339,5.58096,-0.00181061,-0.0410959,-0.181392,-0.625112
0.0533054,0.729405,5.58083,-0.00554521,-0.0375532,-0.147476,-0.601062
0.0540533,0.729417,5.58058,-0.00452914,-0.0420384,-0.155451,-0.605375
0.0548086,0.729417,5.58037,-0.0030353,-0.0437893,-0.2035,-0.637264
0.0555551,0.729414,5.58017,-0.00189396,-0.0428468,-0.171521,-0.615302
0.0563058,0.729555,5.57985,-0.0114689,-0.0507817,-0.178069,-0.61911
0.0570614,0.729442,5.57972,-0.000380101,-0.0438899,-0.233382,-0.65555
0.0578057,0.729412,5.57945,0.00175682,-0.0483752,-0.195862,-0.628778
0.0585559,0.729405,5.57915,0.00160408,-0.0543282,-0.20419,-0.632521
0.0593021,0.729609,5.57887,-0.0131998,-0.0556953,-0.238112,-0.66034
0.060055,0.729624,5.57846,-0.0099988,-0.0655003,-0.218165,-0.639493
0.0608076,0.729732,5.57805,-0.0137818,-0.0735656,-0.225378,-0.642057
0.0615539,0.729773,5.57755,-0.0126512,-0.083676,-0.253124,-0.648198
0.0623035,0.729776,5.57696,-0.00946003,-0.0959359,-0.24251,-0.643575
0.0630558,0.729902,5.57631,-0.0160259,-0.110837,-0.285468,-0.645021
0.0638074,0.729831,5.57579,-0.00618178,-0.110986,-0.259777,-0.644127
0.0645558,0.729807,5.57497,-0.00259525,-0.131445,-0.269622,-0.641297
0.0653069,0.72993,5.57427,-0.0105171,-0.138196,-0.313184,-0.638865
0.0660568,0.730093,5.5735,-0.0189926,-0.14635,-0.284732,-0.63864
0.0668052,0.730205,5.57272,-0.0201786,-0.152013,-0.292758,-0.636688
0.0675555,0.730471,5.57187,-0.0319347,-0.161944,-0.327607,-0.625279
0.068307,0.730682,5.57107,-0.0359073,-0.165759,-0.305951,-0.632194
0.0690595,0.73085,5.57027,-0.0365885,-0.166918,-0.313366,-0.630196
0.0698044,0.730997,5.56939,-0.0344283,-0.174074,-0.356435,-0.615328
0.0705565,0.731325,5.5685,-0.0454929,-0.179535,-0.326836,-0.624175
0.0713078,0.731649,5.56744,-0.0540532,-0.195722,-0.332943,-0.619231
0.0720559,0.732032,5.56629,-0.0636868,-0.211126,-0.362063,-0.588267
0.0728051,0.732474,5.5653,-0.0734172,-0.21126,-0.342943,-0.609604
0.0735595,0.732856,5.56423,-0.0767011,-0.216591,-0.371904,-0.584057
0.0743084,0.733421,5.56295,-0.0895142,-0.233634,-0.352018,-0.597608
0.0750601,0.734052,5.56177,-0.103635,-0.23987,-0.354609,-0.591902
0.0758176,0.73479,5.56061,-0.122441,-0.24139,-0.359536,-0.563642
0.0765577,0.735414,5.55943,-0.126031,-0.243856,-0.358397,-0.581077
0.0773097,0.736202,5.5583,-0.1401,-0.242183,-0.358887,-0.576453
0.0780598,0.737013,5.55699,-0.151106,-0.25482,-0.359691,-0.53729
0.0788084,0.737705,5.55554,-0.149901,-0.272887,-0.361995,-0.560657
0.079561,0.738469,5.55422,-0.154044,-0.275279,-0.363252,-0.553667
0.0803082,0.739406,5.55303,-0.167128,-0.268454,-0.353965,-0.523737
0.0810583,0.74032,5.55183,-0.174527,-0.263879,-0.361082,-0.543344
0.0818086,0.741193,5.55053,-0.177786,-0.267191,-0.357364,-0.505685
0.0825606,0.742175,5.54931,-0.187985,-0.263559,-0.359214,-0.531505
0.0833078,0.743149,5.54801,-0.193979,-0.267623,-0.357773,-0.525121
0.0840588,0.744248,5.54679,-0.206582,-0.264233,-0.337491,-0.495761
0.0848101,0.745307,5.54552,-0.212665,-0.26512,-0.352041,-0.514454
0.0855594,0.746349,5.54427,-0.215763,-0.264557,-0.34964,-0.508899
0.0863083,0.747579,5.543,-0.229928,-0.266498,-0.320453,-0.476811
0.0870601,0.748725,5.54161,-0.23572,-0.276627,-0.341592,-0.496595
0.0878103,0.749905,5.5405,-0.24048,-0.263023,-0.337105,-0.493231
0.0885602,0.751165,5.53904,-0.249128,-0.279723,-0.320134,-0.466511
0.08931,0.752292,5.53772,-0.246558,-0.279839,-0.329212,-0.479452
0.0900612,0.753576,5.53634,-0.254866,-0.283728,-0.324129,-0.472923
0.0908085,0.754924,5.535,-0.265496,-0.268838,-0.287373,-0.436092
0.0916857,0.75639,5.53379,-0.265716,-0.264043,-0.311582,-0.464267
0.0924344,0.75765,5.53256,-0.266633,-0.262855,-0.280077,-0.434797
0.0931896,0.758934,5.53147,-0.267931,-0.250997,-0.300631,-0.45665
0.093935,0.760249,5.53024,-0.272036,-0.254406,-0.294709,-0.452051
0.0946871,0.761503,5.52905,-0.270515,-0.255732,-0.263451,-0.425577
0.0954357,0.76286,5.52789,-0.275937,-0.251757,-0.282941,-0.44426
0.096182,0.764034,5.5268,-0.267632,-0.24564,-0.278458,-0.441014
0.0969667,0.765158,5.52577,-0.257019,-0.238451,-0.256922,-0.426636
0.0976868,0.766457,5.52468,-0.261941,-0.236428,-0.268544,-0.435535
0.0984327,0.76757,5.52358,-0.253127,-0.235578,-0.26482,-0.432104
0.099185,0.768735,5.52245,-0.251692,-0.235903,-0.23928,-0.409088
0.0999351,0.769814,5.52127,-0.244642,-0.239054,-0.257573,-0.423842
0.100683,0.77093,5.52026,-0.240604,-0.230955,-0.234157,-0.408373
0.101435,0.772063,5.51928,-0.239816,-0.222778,-0.249426,-0.419578
0.102187,0.77316,5.5181,-0.237081,-0.231965,-0.246196,-0.415111
0.102934,0.774056,5.51714,-0.222415,-0.224246,-0.237712,-0.401051
0.103684,0.775061,5.51613,-0.21962,-0.221158,-0.242329,-0.410149
0.104435,0.775984,5.51522,-0.211048,-0.212176,-0.240575,-0.408667
0.105183,0.777035,5.51435,-0.214193,-0.203627,-0.220352,-0.402759
