Elapsed Time,Phi 1,Phi 2,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
5.37e-07,0.728765,5.59184,0.00652037,0.00757924,0.405086,-0.203976
0.00130768,0.728803,5.59178,0.00189543,0.000139832,0.401665,-0.206365
0.00251675,0.728684,5.59174,0.0100543,-0.00196868,0.401317,-0.205063
0.00379265,0.728559,5.59174,0.0126648,-0.00107089,0.384709,-0.211688
0.00503161,0.728441,5.59165,0.0102093,-0.00811914,0.395525,-0.205784
0.00629258,0.728594,5.59154,-0.00462057,-0.011308,0.397595,-0.207442
0.00750649,0.728393,5.59157,0.0091169,-0.00621924,0.374691,-0.213952
0.00874246,0.728331,5.59163,0.00729384,0.000698626,0.390405,-0.209058
0.00999424,0.728365,5.59157,0.00372455,-0.00361899,0.384583,-0.212808
0.011259,0.728391,5.59163,0.00471314,0.000605493,0.388616,-0.211634
0.0125115,0.728349,5.59163,0.00857767,0.000549613,0.378072,-0.219164
0.0137644,0.728326,5.59154,0.00548894,-0.0069345,0.37677,-0.213904
0.0150046,0.728374,5.59154,0.000197162,-0.0047701,0.384455,-0.214307
0.0162143,0.728396,5.59173,0.000316836,0.00908425,0.380228,-0.235071
0.0174323,0.728317,5.59174,0.00474015,0.00622696,0.381814,-0.219072
0.0186279,0.728319,5.59162,0.00269124,-0.00324646,0.37357,-0.21805
0.0198932,0.72843,5.59159,-0.00694236,-0.00336939,0.380033,-0.22497
0.0211131,0.728332,5.59158,0.00251429,-0.00241199,0.377917,-0.220759
0.022358,0.728454,5.59165,-0.00362545,0.000311193,0.379493,-0.234741
0.023587,0.728333,5.59162,0.00636066,0.000367072,0.375552,-0.223746
0.0247468,0.728344,5.59165,0.00377717,0.00402531,0.369528,-0.233085
0.0261619,0.728476,5.59155,-0.0102635,-0.00365997,0.374235,-0.227991
0.0274438,0.728434,5.5916,-0.00507878,0.00161132,0.372908,-0.2276
0.0286087,0.728346,5.59147,0.00406727,-0.00718409,0.358457,-0.224722
0.0298002,0.728382,5.59155,-0.000658723,0.00239736,0.369776,-0.229172
0.0310479,0.728336,5.5916,0.00372222,0.00458783,0.363748,-0.235693
0.0322137,0.728295,5.59143,0.00432152,-0.00830913,0.365973,-0.229871
0.033491,0.728311,5.59149,0.00360394,-0.000724439,0.359845,-0.242441
0.0347818,0.728273,5.5916,0.00605984,0.00712102,0.355395,-0.246757
0.0360231,0.728298,5.59157,0.00325097,0.00246813,0.362546,-0.235451
0.0373182,0.728332,5.59158,-5.94171e-05,0.00245696,0.357086,-0.24415
