Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
2.97e-07,0.356715,0.357508,0.00667684,-0.00402822,0.023984,0.11436
0.00154803,0.356718,0.357522,0.00748384,0.00182421,0.865452,0.90988
0.00304256,0.356922,0.357723,0.0851331,0.0813666,0.920036,0.895542
0.00441703,0.357482,0.358232,0.256612,0.237643,0.874855,0.84552
0.00591463,0.358441,0.35919,0.472125,0.46078,0.872979,0.842899
0.0073432,0.359546,0.36051,0.644473,0.695555,0.867002,0.856682
0.00878747,0.361015,0.362013,0.831243,0.903591,0.860378,0.865154
0.0101689,0.362584,0.363848,0.992632,1.12944,0.861028,0.874011
0.0116772,0.364613,0.366189,1.19806,1.36976,0.853383,0.847364
0.0131757,0.367061,0.368858,1.44347,1.596,0.826346,0.790256
0.0146659,0.369907,0.371936,1.70099,1.84852,0.60704,0.139737
0.0161723,0.373052,0.37517,1.92107,2.01301,-0.10662,-0.43339
0.0176697,0.37622,0.378294,2.01842,2.04236,-0.0849059,-0.358506
0.0191674,0.379212,0.381102,2.00213,1.94596,-0.0644016,-0.415213
0.0206662,0.382076,0.383784,1.94737,1.86153,-0.699588,-0.877813
0.0220721,0.384456,0.385939,1.82697,1.70427,-0.570908,-0.867621
0.0235436,0.384032,0.387841,0.622868,1.43757,-0.83337,-0.703578
0.0250789,0.38293,0.388292,-0.0932472,0.796786,0.0146467,-0.674453
0.02641,0.38283,0.387894,-0.0651678,0.227026,0.636189,-0.0379434
0.0279052,0.383348,0.387112,0.168894,-0.179519,0.544011,0.0810272
0.0292755,0.383655,0.386688,0.183155,-0.2351,0.249658,0.329376
0.0306515,0.383067,0.386844,-0.142728,-0.0489961,0.200265,0.273662
0.0320265,0.382114,0.387373,-0.424867,0.171675,0.814942,-0.0151222
0.0334088,0.381318,0.387948,-0.488954,0.296607,0.872084,-0.077367
0.0347736,0.381234,0.388351,-0.248991,0.287919,0.798607,-0.198456
0.0361518,0.382058,0.388402,0.194813,0.154375,0.551091,-0.193882
0.0375231,0.383514,0.388272,0.637283,0.029954,0.0914141,-0.0978909
0.0388982,0.383728,0.388374,0.330489,0.060669,-0.0113749,-0.0401024
0.0402728,0.382583,0.388687,-0.260541,0.140841,0.213507,-0.111207
0.0416499,0.3816,0.38888,-0.485837,0.136535,0.894832,-0.332166
0.0430251,0.380991,0.388721,-0.449006,-0.00355125,0.853904,-0.124189
0.0444013,0.381289,0.388207,-0.0926447,-0.196797,0.800846,0.00600938
0.0457766,0.382302,0.387711,0.338349,-0.272387,0.422833,0.0135706
0.0471579,0.383138,0.387725,0.460796,-0.11753,0.132777,0.0150923
0.0485242,0.383379,0.388087,0.305584,0.082637,-0.0203583,-0.0151802
0.049901,0.38343,0.388397,0.176278,0.151633,0.182559,-0.117488
0.051278,0.383391,0.38853,0.072171,0.117659,0.351545,-0.164691
0.0526518,0.383486,0.388476,0.0818027,0.0326995,0.478384,-0.163048
0.054024,0.383658,0.388232,0.0975733,-0.0802699,0.394911,-0.0240404
0.0554077,0.383573,0.387759,0.0124476,-0.219335,0.302173,0.0137407
0.0567778,0.383463,0.387218,-0.033583,-0.308094,0.440949,0.0824377
0.0581541,0.383472,0.386606,-0.00982173,-0.375797,0.454984,0.250811
0.0595324,0.383535,0.386168,0.00885827,-0.345373,0.391177,0.501398
0.0609044,0.383524,0.386046,0.000283585,-0.209523,0.360882,0.25539
0.0622782,0.383532,0.386062,0.00737607,-0.09383,0.395015,0.0947652
0.0636518,0.383567,0.386197,0.0164337,0.000706735,0.381452,0.0985969
0.0650248,0.383564,0.386182,0.00852719,-0.00878903,0.37746,0.0641129
0.0664025,0.383546,0.385973,-0.00167312,-0.0851873,0.381679,0.12352
0.067779,0.383524,0.38564,-0.00802894,-0.16505,0.400594,0.255533
