Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
2.22e-07,0.377444,0.384459,0.00663909,-0.00379561,-0.00606331,0.0413439
0.00130511,0.377412,0.384477,-0.0073829,0.0054282,0.694474,0.214715
0.00266869,0.37755,0.384483,0.0537496,0.00561447,0.905094,0.159648
0.00404537,0.378038,0.384568,0.213631,0.032932,0.790259,0.125401
0.00541798,0.378808,0.384788,0.394906,0.101209,0.329544,0.0320752
0.00679334,0.379523,0.385092,0.453942,0.165169,0.306299,0.0285597
0.00816772,0.380084,0.385529,0.430311,0.242249,0.253651,-0.0110321
0.00981649,0.380736,0.386022,0.41407,0.274674,0.273339,-0.064325
0.0111782,0.381315,0.386367,0.420776,0.262637,0.106128,-0.234568
0.0125551,0.381994,0.386581,0.462221,0.204221,0.101407,-0.231937
0.0139248,0.382761,0.386649,0.510627,0.119463,0.0263409,-0.212763
0.0153162,0.383528,0.386579,0.532162,0.0297432,-0.115547,-0.267117
0.0166863,0.383807,0.386418,0.336742,-0.0453214,-0.0192748,-0.0719076
0.0180873,0.383405,0.38615,0.0148874,-0.122968,-0.0903169,-0.0846328
0.0194588,0.383088,0.38574,-0.108675,-0.214356,0.0808185,-0.0245277
0.0207991,0.382904,0.385253,-0.116999,-0.288721,0.181472,-0.000858614
0.0221899,0.382944,0.384667,-0.0379452,-0.358164,0.160102,0.0419332
0.0235808,0.383064,0.384091,0.0251296,-0.387881,0.0806336,0.0735733
0.0250763,0.383164,0.38351,0.0466059,-0.389415,0.033424,0.195486
0.0264306,0.383134,0.383056,0.0101302,-0.360872,-0.0115653,0.322887
0.0278092,0.383137,0.382832,0.00594388,-0.252578,0.0334807,0.13692
0.0294376,0.383016,0.38282,-0.0418502,-0.109363,0.00904215,0.0506062
0.0309209,0.382959,0.382805,-0.0347107,-0.0584047,0.0159461,0.00916435
0.032311,0.383015,0.382663,0.00676903,-0.0842731,0.0335123,0.0268143
0.0336609,0.383085,0.382478,0.0316642,-0.116139,-0.0323089,0.0227593
0.034913,0.383098,0.382247,0.0228357,-0.140234,-0.0363445,0.0192592
0.036285,0.383125,0.382038,0.0193978,-0.151667,-0.0931757,0.0265108
0.037536,0.383122,0.381876,0.00907266,-0.141155,-0.0854228,0.0348867
0.038787,0.383063,0.381737,-0.0168051,-0.127393,-0.152976,0.00557866
0.0400356,0.382924,0.381615,-0.0632771,-0.112492,-0.09946,0.0223634
0.0412894,0.382714,0.381503,-0.11017,-0.0936198,-0.0754075,-0.0130244
0.0426604,0.382442,0.381406,-0.163735,-0.0865604,-0.0429053,0.000907353
0.0439082,0.382184,0.381293,-0.181602,-0.0898685,-0.0263018,-0.0187337
0.0451727,0.381944,0.3811,-0.176201,-0.116054,-0.0122886,-0.00675923
0.0465366,0.381724,0.380872,-0.175692,-0.14837,-0.0353186,-0.00636986
0.0477858,0.381618,0.380633,-0.132688,-0.168457,-0.0213163,-0.00203508
0.049056,0.381485,0.380414,-0.114324,-0.163354,-0.0335958,0.00831718
0.0504129,0.381305,0.380245,-0.130275,-0.149276,-0.0752381,0.0153176
0.0516612,0.381061,0.380066,-0.1604,-0.145178,-0.0599055,-0.0051279
0.0529118,0.380752,0.379877,-0.192378,-0.142853,-0.0345135,0.0122599
0.0542901,0.380406,0.3797,-0.222365,-0.135589,-0.0140084,-0.0102253
0.055662,0.380086,0.379524,-0.240592,-0.138439,0.00836104,-0.0146899
0.0569122,0.379755,0.379345,-0.24179,-0.133797,0.0132512,-0.00696942
0.0582873,0.379485,0.379199,-0.229293,-0.125687,0.041177,-0.00939251
0.0595341,0.379219,0.379059,-0.22077,-0.12115,0.0247478,-0.0155403
0.0607864,0.378967,0.378925,-0.212399,-0.114679,0.023936,-0.0350741
0.0620353,0.378699,0.378754,-0.212008,-0.125672,0.0338909,-0.0224092
0.0632877,0.378432,0.378606,-0.210784,-0.123731,0.035139,-0.0426747
0.0645352,0.378199,0.378477,-0.196294,-0.115707,0.0560717,-0.0598548
0.0657861,0.377984,0.378325,-0.172751,-0.111382,0.0380992,-0.0477364
0.0671614,0.377807,0.378149,-0.156529,-0.127703,0.0636038,-0.0722022
0.0684099,0.377631,0.378018,-0.149181,-0.118084,0.0286247,-0.0550385
0.0696723,0.37743,0.377875,-0.147859,-0.112816,0.0455577,-0.0923568
0.0710368,0.377233,0.377754,-0.150275,-0.107146,0.0315067,-0.0847252
0.0722874,0.377071,0.377625,-0.139681,-0.105805,0.024318,-0.11528
0.0735364,0.376864,0.377483,-0.150419,-0.10772,0.0308034,-0.0934917
0.0747889,0.376699,0.377258,-0.140546,-0.13687,0.0253476,-0.121998
0.0761611,0.376522,0.377049,-0.133924,-0.15553,0.0194532,-0.0700153
0.0774154,0.37633,0.376801,-0.136487,-0.169914,0.0105957,-0.0755163
0.0788077,0.376145,0.376529,-0.134039,-0.184744,0.0220842,-0.0539832
0.0801636,0.375919,0.376239,-0.157359,-0.197831,0.0153192,-0.065702
0.0815385,0.375696,0.375911,-0.162183,-0.219494,0.0119686,-0.0155761
0.0829308,0.375427,0.375596,-0.172174,-0.22858,0.022824,-0.0220177
0.0843163,0.375165,0.375299,-0.181649,-0.222597,0.018841,-0.0160036
0.0856722,0.374946,0.374955,-0.168008,-0.237561,0.0395937,-0.0151544
0.0870542,0.374699,0.374619,-0.174736,-0.240296,0.0217152,0.00513184
0.0884153,0.374482,0.374289,-0.163454,-0.239495,0.0351191,0.00763463
0.0897892,0.374299,0.373951,-0.153627,-0.243164,0.0346686,0.0305068
0.0911649,0.374066,0.373675,-0.152278,-0.220764,0.0287538,0.0395143
0.0925415,0.373885,0.373385,-0.140129,-0.213712,0.0232626,0.0193605
0.0939144,0.373706,0.373113,-0.134384,-0.205684,0.0266228,0.0445015
0.0952898,0.373575,0.372867,-0.11601,-0.191777,0.00999579,0.0377193
0.0966648,0.373422,0.372604,-0.11055,-0.190559,-0.00544522,0.0356985
0.0980396,0.373277,0.372363,-0.112661,-0.181239,0.00342335,0.038496
0.0994171,0.373083,0.372101,-0.123556,-0.18597,-0.0177026,0.0429173
0.100788,0.372949,0.371905,-0.117526,-0.161912,-0.0135063,0.0639086
0.102165,0.372768,0.371667,-0.117528,-0.167183,-0.0377054,0.0324198
0.103544,0.372587,0.371446,-0.125681,-0.163577,-0.0347999,0.0575329
0.104917,0.372418,0.371226,-0.124464,-0.163268,-0.0309205,0.0482686
0.10629,0.372245,0.371017,-0.13121,-0.158038,-0.0368054,0.0518445
0.107666,0.372,0.370805,-0.147479,-0.153832,-0.0180364,0.0390717
0.109041,0.371786,0.3706,-0.15163,-0.151146,-0.0351941,0.0336868
0.110417,0.371572,0.37041,-0.153387,-0.14358,-0.0256705,0.0296392
0.11179,0.371367,0.370229,-0.159589,-0.13772,-0.0268565,0.0197532
0.113167,0.371115,0.370071,-0.164724,-0.124335,-0.0327921,0.0319154
0.114541,0.370892,0.369894,-0.162961,-0.124797,-0.0113768,0.0135254
0.115913,0.370672,0.369735,-0.167805,-0.124532,-0.0193479,0.0143143
0.117163,0.370458,0.369586,-0.170077,-0.115983,-0.0236881,-0.0138926
0.118539,0.370227,0.369458,-0.169372,-0.104617,-0.017487,-0.00721752
0.119917,0.369975,0.369318,-0.168078,-0.103648,-0.0226673,-0.0231676
0.121289,0.369762,0.369174,-0.168202,-0.105727,0.00153784,-0.0274271
0.122664,0.369514,0.369027,-0.173742,-0.113181,-0.00577381,0.00198043
0.123916,0.369251,0.368885,-0.183186,-0.108275,-0.021429,-0.0166367
0.125294,0.368964,0.368732,-0.196685,-0.108491,-0.0104846,-0.0428447
0.126666,0.368719,0.368548,-0.188098,-0.12179,-0.00345073,-0.0344778
0.128044,0.36845,0.368346,-0.193385,-0.137634,0.0156367,-0.0296008
0.129416,0.368203,0.368161,-0.193758,-0.135626,0.00990606,-0.047334
0.130796,0.367894,0.367945,-0.199428,-0.146113,0.00872243,-0.0377185
0.132167,0.367598,0.36772,-0.207437,-0.158794,0.0307025,-0.0336903
0.133542,0.367329,0.367508,-0.201646,-0.157434,0.0229853,-0.0275793
0.134914,0.367064,0.367303,-0.206587,-0.15458,0.03264,-0.0279602
0.1363,0.366791,0.367079,-0.192248,-0.158693,0.0569977,-0.0661302
0.137671,0.366534,0.366862,-0.189738,-0.156108,0.0496972,-0.0493373
0.13904,0.366323,0.366609,-0.179632,-0.169608,0.0440367,-0.0286655
0.140416,0.366073,0.366376,-0.175179,-0.172659,0.0478769,-0.0391191
0.14179,0.365836,0.366182,-0.174499,-0.155929,0.0333982,-0.0410536
0.143165,0.365661,0.365931,-0.158797,-0.169947,0.0404297,-0.0479078
0.144541,0.365452,0.36572,-0.147028,-0.16212,0.055057,-0.0313642
0.145916,0.365279,0.365496,-0.135018,-0.161934,0.0236948,-0.0256499
0.147294,0.365093,0.365278,-0.133312,-0.160526,0.0337484,-0.0441876
0.148665,0.364939,0.365042,-0.12979,-0.167004,0.0219276,-0.0374776
0.150042,0.36475,0.364825,-0.127793,-0.162854,0.0178389,-0.0353785
0.151419,0.364565,0.364621,-0.132278,-0.158343,0.0258072,-0.0353638
0.152792,0.364415,0.364402,-0.119949,-0.160262,0.0223333,-0.0618315
0.154165,0.364301,0.364196,-0.105189,-0.156227,0.00263794,-0.0343011
0.155542,0.364098,0.363983,-0.120738,-0.15356,-0.0161922,-0.0502886
0.156917,0.363938,0.363761,-0.116532,-0.159077,0.00253354,-0.0422239
0.15829,0.363805,0.363549,-0.111343,-0.156398,-0.0161025,-0.0318833
0.159666,0.363636,0.363325,-0.114842,-0.158958,-0.0373937,-0.0391875
0.161043,0.363432,0.36309,-0.126789,-0.165976,-0.0258525,-0.0421206
0.162417,0.363259,0.362878,-0.125207,-0.159677,-0.00956128,-0.0449128
0.163789,0.363068,0.36267,-0.139874,-0.16094,-0.041377,-0.0282249
0.165041,0.362865,0.362414,-0.146587,-0.173106,-0.042368,-0.0472505
0.166416,0.362693,0.36219,-0.13689,-0.169768,-0.0169464,-0.0198082
0.167788,0.362515,0.361966,-0.136551,-0.175587,-0.0341307,-0.0311627
0.169043,0.362281,0.361733,-0.150555,-0.171281,-0.0501368,-0.0288696
0.170417,0.36203,0.361502,-0.16646,-0.168439,-0.0273324,-0.0287094
0.171793,0.361818,0.361265,-0.162651,-0.168453,-0.0319382,-0.00828692
0.173168,0.361597,0.361035,-0.159655,-0.16728,-0.0368799,-0.0220307
0.17457,0.361351,0.360823,-0.168784,-0.162746,-0.0298814,-0.0184899
0.175917,0.361133,0.360613,-0.164441,-0.157918,-0.0214931,-0.0373743
0.177292,0.360922,0.36042,-0.158781,-0.149171,-0.00952974,-0.0251466
0.178685,0.360709,0.360212,-0.155876,-0.149954,-0.0464781,-0.0367088
0.180041,0.360522,0.360025,-0.152514,-0.142369,-0.0434223,-0.0279685
0.181417,0.360276,0.359843,-0.157477,-0.135693,-0.0307355,-0.0492991
0.18279,0.360099,0.359695,-0.148903,-0.119153,-0.0249074,-0.0357404
0.184168,0.359866,0.359516,-0.153257,-0.124074,-0.0315854,-0.075599
0.185542,0.35968,0.359337,-0.144054,-0.127993,-0.0263234,-0.0525614
0.186917,0.35946,0.359166,-0.151335,-0.123627,-0.0321559,-0.0452615
0.18829,0.359287,0.358999,-0.143023,-0.122513,-0.0277083,-0.0952421
0.189666,0.359067,0.358831,-0.144329,-0.123757,-0.0605926,-0.0738539
0.19104,0.358882,0.358671,-0.148129,-0.120759,-0.0290325,-0.101773
0.192416,0.358702,0.358484,-0.13984,-0.128127,-0.0498474,-0.0950227
0.193791,0.358517,0.358303,-0.137423,-0.1298,-0.055473,-0.0896137
0.195166,0.358312,0.358134,-0.140242,-0.126577,-0.0649804,-0.101369
0.196542,0.358135,0.357972,-0.133466,-0.119324,-0.0650703,-0.116201
0.197916,0.357962,0.357782,-0.136447,-0.128272,-0.0754766,-0.111916
0.199292,0.357783,0.357622,-0.126753,-0.120159,-0.106844,-0.114963
0.200667,0.357615,0.357445,-0.129999,-0.125467,-0.0762675,-0.124365
0.202042,0.357447,0.357294,-0.120364,-0.118568,-0.0866999,-0.105118
0.203414,0.357298,0.357168,-0.118104,-0.109121,-0.0905451,-0.142732
0.204673,0.357129,0.35702,-0.119977,-0.108864,-0.125512,-0.174015
0.206044,0.356969,0.35684,-0.116519,-0.116877,-0.096684,-0.156411
0.207421,0.35681,0.356658,-0.11648,-0.124044,-0.119108,-0.148314
0.208793,0.356682,0.356491,-0.105285,-0.122211,-0.122088,-0.134465
0.210192,0.356523,0.356333,-0.109381,-0.121399,-0.154703,-0.169502
0.211542,0.356357,0.356199,-0.115276,-0.107757,-0.13512,-0.195044
0.212916,0.356209,0.356065,-0.112849,-0.100769,-0.156958,-0.199668
0.214295,0.356057,0.35589,-0.108623,-0.112541,-0.166949,-0.188728
0.215672,0.355901,0.3557,-0.111994,-0.125929,-0.149444,-0.196567
0.217043,0.355734,0.35552,-0.120231,-0.12869,-0.166191,-0.155468
0.218419,0.355598,0.355335,-0.110153,-0.135302,-0.175937,-0.182867
0.219794,0.355414,0.355199,-0.123383,-0.119227,-0.21633,-0.201224
0.221171,0.355259,0.355028,-0.118284,-0.121191,-0.174455,-0.234042
0.222547,0.355098,0.354856,-0.117177,-0.123795,-0.188154,-0.192705
0.223918,0.354964,0.354693,-0.111114,-0.119961,-0.211458,-0.204427
0.225292,0.354791,0.354517,-0.117807,-0.129792,-0.219192,-0.219638
0.226544,0.354617,0.354314,-0.1229,-0.140551,-0.193923,-0.209465
0.227919,0.354424,0.354152,-0.130705,-0.131294,-0.188149,-0.19017
0.229295,0.35426,0.353962,-0.12573,-0.135447,-0.209265,-0.241294
0.230669,0.354104,0.353788,-0.118098,-0.130895,-0.216528,-0.219472
0.232046,0.353937,0.353626,-0.120202,-0.125821,-0.221424,-0.237346
0.23342,0.353776,0.353461,-0.120396,-0.121299,-0.232654,-0.255213
0.234794,0.353632,0.353279,-0.111083,-0.127632,-0.231821,-0.248151
0.23617,0.353446,0.353091,-0.123513,-0.133197,-0.263384,-0.235697
0.237543,0.353265,0.352893,-0.129827,-0.137358,-0.20983,-0.231784
0.23892,0.353088,0.352721,-0.131835,-0.129763,-0.246604,-0.246612
0.240293,0.35296,0.352558,-0.119345,-0.123158,-0.24548,-0.260668
0.241668,0.352813,0.352394,-0.115983,-0.12004,-0.244595,-0.264704
0.243043,0.352668,0.35221,-0.11287,-0.124957,-0.265544,-0.274726
0.244417,0.352467,0.352002,-0.124218,-0.140745,-0.275421,-0.261034
0.245805,0.352315,0.35184,-0.117699,-0.131901,-0.242297,-0.250602
0.24717,0.352123,0.351673,-0.127046,-0.127296,-0.324829,-0.315209
0.248542,0.351966,0.351494,-0.128656,-0.128261,-0.267912,-0.259606
0.24992,0.351793,0.351312,-0.119909,-0.129476,-0.295823,-0.284598
0.251293,0.351612,0.351121,-0.125013,-0.131554,-0.296074,-0.284521
0.252668,0.35143,0.350929,-0.129146,-0.135071,-0.264427,-0.277684
0.254045,0.35125,0.350741,-0.130543,-0.136353,-0.295611,-0.272041
0.255422,0.351065,0.350554,-0.133386,-0.136941,-0.321414,-0.293917
0.256795,0.350871,0.35036,-0.138959,-0.138316,-0.293684,-0.299541
0.258169,0.35069,0.350161,-0.13665,-0.140558,-0.284632,-0.296745
0.259545,0.350515,0.349982,-0.13191,-0.136036,-0.283107,-0.308407
0.26092,0.350324,0.349801,-0.134705,-0.134524,-0.295233,-0.299659
0.262294,0.350183,0.349616,-0.116307,-0.13541,-0.301262,-0.323365
0.26367,0.349985,0.349414,-0.131177,-0.140376,-0.343157,-0.303451
0.265046,0.349817,0.349224,-0.12716,-0.138696,-0.288791,-0.287885
0.26642,0.349629,0.349036,-0.132686,-0.136677,-0.334774,-0.318423
0.267797,0.349422,0.34884,-0.141883,-0.139609,-0.306836,-0.30844
0.269172,0.349249,0.348647,-0.135405,-0.137075,-0.309137,-0.306789
0.270543,0.349087,0.348466,-0.134444,-0.134211,-0.314317,-0.32204
0.271918,0.348876,0.348265,-0.136163,-0.13924,-0.325727,-0.319524
0.273295,0.348713,0.348075,-0.12757,-0.14038,-0.309093,-0.31638
0.274672,0.348505,0.347878,-0.138191,-0.143941,-0.359046,-0.317944
0.276045,0.348318,0.347671,-0.13749,-0.149413,-0.313209,-0.32037
0.277421,0.348138,0.347492,-0.133296,-0.14124,-0.354319,-0.325969
0.278919,0.34791,0.347308,-0.14586,-0.134035,-0.351488,-0.321718
0.280293,0.347778,0.347106,-0.133072,-0.13924,-0.319043,-0.351976
0.281668,0.347591,0.346915,-0.129117,-0.136707,-0.416908,-0.323296
0.283043,0.347369,0.346716,-0.140153,-0.13826,-0.368582,-0.317442
0.284418,0.347165,0.346501,-0.150029,-0.148858,-0.315572,-0.33337
0.285795,0.346943,0.346276,-0.148551,-0.156436,-0.351406,-0.318379
0.287169,0.346779,0.346065,-0.141268,-0.154551,-0.33383,-0.319217
0.288542,0.346576,0.345903,-0.143035,-0.140972,-0.373343,-0.320016
0.289802,0.346387,0.345706,-0.141612,-0.141292,-0.36434,-0.352459
0.29117,0.346194,0.345494,-0.141568,-0.149015,-0.357302,-0.340506
0.292542,0.346021,0.345304,-0.138075,-0.143267,-0.369544,-0.330515
0.29392,0.345795,0.34511,-0.146577,-0.142253,-0.377486,-0.349835
0.295295,0.345626,0.344922,-0.132472,-0.13899,-0.335358,-0.356361
0.29667,0.345426,0.344714,-0.135682,-0.144578,-0.392241,-0.342056
0.298047,0.345255,0.344551,-0.131051,-0.129077,-0.36125,-0.356499
0.29942,0.345083,0.344357,-0.128569,-0.137001,-0.414153,-0.385973
0.300796,0.344892,0.344184,-0.133482,-0.132929,-0.396787,-0.35656
0.302172,0.344683,0.343979,-0.139973,-0.141516,-0.387577,-0.399389
0.303544,0.344511,0.343794,-0.137015,-0.137444,-0.378214,-0.367485
0.304921,0.344299,0.34358,-0.138083,-0.146031,-0.405726,-0.375172
0.306295,0.344103,0.343381,-0.139456,-0.147037,-0.383979,-0.364363
0.307669,0.343922,0.343213,-0.142365,-0.133276,-0.39741,-0.369634
0.309047,0.34371,0.342997,-0.142573,-0.147499,-0.41747,-0.412497
0.31042,0.343514,0.342815,-0.144558,-0.14108,-0.378376,-0.368523
0.311795,0.343311,0.34263,-0.146775,-0.134997,-0.392242,-0.382034
0.31317,0.343109,0.342426,-0.148097,-0.141207,-0.38401,-0.400473
0.314549,0.342915,0.342239,-0.146109,-0.139638,-0.384534,-0.387941
0.31592,0.342726,0.342031,-0.14446,-0.145673,-0.394488,-0.385067
0.317296,0.342545,0.341849,-0.138389,-0.138759,-0.427831,-0.377195
0.318671,0.342346,0.341664,-0.142414,-0.135708,-0.410744,-0.412634
0.320046,0.342157,0.341481,-0.138603,-0.133581,-0.413691,-0.411762
0.321421,0.341944,0.341282,-0.147985,-0.141121,-0.419345,-0.410734
0.322795,0.341774,0.341076,-0.136306,-0.143408,-0.404619,-0.386092
0.324169,0.341546,0.340875,-0.150743,-0.145796,-0.450698,-0.402684
0.325547,0.34136,0.340683,-0.14259,-0.14327,-0.438155,-0.387317
0.32692,0.341145,0.340492,-0.147946,-0.142619,-0.41343,-0.401418
0.328293,0.34097,0.340318,-0.141891,-0.139433,-0.434719,-0.410538
0.329552,0.340755,0.340116,-0.148505,-0.145882,-0.427844,-0.411483
