Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
4.63e-07,0.383858,0.389405,-0.000106817,0.00119346,-0.00205682,-0.00979803
0.00276976,0.383849,0.389404,-0.00205328,0.000336648,0.455187,-0.0287998
0.00473776,0.384067,0.389379,0.0781392,-0.00545245,0.550867,-0.0125642
0.00674208,0.384154,0.389363,0.0394171,-0.00619379,0.389484,-0.0386113
0.0086713,0.384083,0.389332,-0.00292127,-0.0149184,0.493578,-0.0336743
0.0107421,0.384117,0.389281,0.00668067,-0.0201226,0.538138,-0.0336512
0.0127604,0.384122,0.389269,0.00516028,-0.00953537,0.479204,-0.0368532
0.0147581,0.384117,0.389236,0.00172277,-0.0143335,0.470849,-0.0350222
0.0167357,0.384103,0.389245,-0.00497251,-0.00328061,0.482943,-0.0396621
0.0187485,0.384137,0.389222,0.00997429,-0.00803408,0.48909,-0.038995
0.0206457,0.384122,0.38922,-1.50769e-05,-0.00340727,0.467725,-0.0464464
0.0226157,0.384106,0.389205,-0.00791223,-0.00852954,0.498616,-0.0329618
0.0246136,0.384128,0.389218,0.000374217,0.000474485,0.496964,-0.0304426
0.0266134,0.384143,0.389222,0.00409951,0.00108543,0.478818,-0.0419186
0.0286111,0.384112,0.389221,-0.00632991,0.000303122,0.478763,-0.0374711
0.0306107,0.384144,0.389209,0.00430905,-0.00259888,0.488453,-0.038116
0.0326097,0.384144,0.38921,0.00556448,-0.00341472,0.460155,-0.0312045
0.0346213,0.384152,0.389208,0.0072497,-0.00328433,0.484001,-0.0292694
0.0365336,0.384154,0.389192,0.00491208,-0.00756842,0.477171,-0.0322102
0.0385054,0.384149,0.389214,0.00633188,0.0054701,0.479656,-0.0291924
0.0404861,0.384151,0.389213,0.00743364,0.00351805,0.489825,-0.0499367
0.0424954,0.38415,0.389185,0.006866,-0.00977379,0.471172,-0.0266742
0.0444889,0.384151,0.389183,0.00666949,-0.00874561,0.476207,-0.036608
0.0465159,0.384137,0.389184,0.00161753,-0.00305709,0.470852,-0.0357837
0.0486356,0.384154,0.38921,0.00570557,0.00592459,0.476923,-0.0339995
0.0511213,0.384139,0.389195,-0.000958043,-0.00452858,0.466119,-0.0475755
0.0532351,0.384136,0.389205,-0.00201416,0.000642122,0.476928,-0.046275
0.0553497,0.384156,0.389185,0.00481895,-0.00481543,0.485873,-0.0467741
0.0573587,0.384153,0.389205,0.00129622,0.0042184,0.467377,-0.030749
0.0594876,0.384142,0.389189,-0.00336784,-0.00088152,0.454773,-0.0507674
0.0616142,0.384154,0.389189,0.0034215,0.00064585,0.473356,-0.0479024
0.0636166,0.384156,0.389199,0.00276864,0.00213597,0.465638,-0.0384836
0.0656321,0.384133,0.389191,-0.00793737,0.00037763,0.45965,-0.0340138
