Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
2.22e-07,0.380338,0.389215,-0.00431274,0.00454355,0.0225118,-0.00988329
0.00141957,0.38036,0.389213,0.0071714,0.000844338,0.607604,-0.0154914
0.00278228,0.380467,0.38918,0.0483275,-0.0136731,0.746898,-0.0230929
0.00415621,0.380899,0.389157,0.190354,-0.014746,0.659458,-0.0529501
0.00553023,0.38157,0.389184,0.345142,0.00588466,0.33588,-0.0692441
0.00690849,0.382235,0.389311,0.412859,0.0533784,0.372545,-0.124462
0.00828199,0.382854,0.389541,0.431926,0.111757,0.237055,-0.210579
0.00965536,0.38339,0.389771,0.407088,0.139988,0.0781759,-0.328508
0.011032,0.383687,0.389908,0.294374,0.118645,0.258879,-0.239514
0.0124092,0.383512,0.38984,0.0766499,0.024269,0.211795,-0.218903
0.0137824,0.38349,0.389419,0.0290174,-0.149691,0.576399,-0.0637824
0.0151575,0.383505,0.388874,0.0227328,-0.277833,0.527074,0.0326885
0.0165317,0.383523,0.388221,0.0159333,-0.378167,0.465148,0.189987
0.0179066,0.383481,0.387647,-0.00619776,-0.39676,0.443376,0.250473
0.0192967,0.383482,0.387214,-0.00253114,-0.350931,0.492124,0.280742
0.0206665,0.383508,0.38703,0.00738418,-0.236535,0.46287,0.2336
0.0220368,0.38351,0.387025,0.00290173,-0.116975,0.432169,0.105833
0.0234253,0.38352,0.387123,0.00439184,-0.0226846,0.433493,0.0699813
0.0247862,0.383544,0.387185,0.0130229,0.010396,0.460673,0.0434358
0.0261913,0.383539,0.387118,0.00731573,-0.0208927,0.433606,0.0584085
0.0275405,0.383533,0.387006,0.00309591,-0.0535039,0.448126,0.0820714
0.0290454,0.383524,0.386838,0.000574818,-0.0840252,0.455001,0.120042
0.0305665,0.383498,0.386794,-0.0137587,-0.0513842,0.461708,0.152659
0.0319096,0.383497,0.386793,-0.0114881,-0.0224015,0.456508,0.0976268
