Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
2.96e-07,0.38324,0.388837,-0.000343217,-0.0032356,-0.00822305,0.00292836
0.00129473,0.38324,0.38884,-0.00022168,-0.00326167,0.402659,-0.0347963
0.00265613,0.383285,0.388833,0.0184043,-0.00533666,0.295229,-0.137846
0.00403287,0.383525,0.388795,0.0984152,-0.016248,0.383676,-0.161657
0.00553023,0.383567,0.388725,0.0502714,-0.0324866,0.0653876,-0.229829
0.00690814,0.383444,0.388561,-0.0220677,-0.0764003,0.261248,-0.175899
0.00828187,0.38339,0.38838,-0.027821,-0.104124,0.354395,-0.137777
0.00965556,0.383488,0.388214,0.0255317,-0.112334,0.254044,-0.165786
0.0110299,0.383532,0.388161,0.0221589,-0.0745302,0.248068,-0.174635
0.0124088,0.383486,0.388074,-0.00408899,-0.0692254,0.180086,-0.257772
0.0137817,0.383454,0.387972,-0.011873,-0.0734834,0.170513,-0.30711
0.015154,0.383483,0.38781,0.00375228,-0.0997951,0.201969,-0.214397
0.0165417,0.383487,0.387605,0.001878,-0.125038,0.141407,-0.186789
0.0179182,0.383484,0.387412,-1.41376e-06,-0.131207,0.0763045,-0.175927
0.0192883,0.383462,0.387233,-0.00599215,-0.130097,0.128926,-0.197801
0.0206654,0.383447,0.387087,-0.00588318,-0.120444,0.0831831,-0.211772
0.0220695,0.383463,0.386948,0.00599956,-0.109682,0.0808536,-0.241841
0.0234237,0.383422,0.386777,-0.0112946,-0.117632,0.055562,-0.262404
0.0247883,0.383395,0.386603,-0.0178288,-0.122795,0.0351076,-0.238286
0.0261779,0.383355,0.386418,-0.022267,-0.128349,0.0533599,-0.221221
0.0275607,0.383283,0.386251,-0.0387547,-0.125012,0.0478515,-0.251042
0.028914,0.383203,0.386081,-0.0505601,-0.120821,0.0237832,-0.264503
0.0303096,0.383155,0.385921,-0.0409708,-0.117546,0.0325133,-0.2403
0.0316987,0.383055,0.385746,-0.0567148,-0.12379,-0.0120751,-0.279653
0.0330463,0.382956,0.385574,-0.0638776,-0.126587,0.0274243,-0.246629
0.0344453,0.382826,0.385389,-0.0800761,-0.126859,0.0162111,-0.250648
0.0357876,0.382707,0.385224,-0.085969,-0.124661,-0.00521862,-0.289797
0.0372156,0.382577,0.385064,-0.0902889,-0.120038,-0.00684515,-0.266488
0.03854,0.382439,0.384901,-0.0958606,-0.119942,0.00606893,-0.281643
0.0399022,0.382307,0.384755,-0.0972925,-0.111746,-0.00336725,-0.272214
0.0412755,0.382175,0.384592,-0.0983691,-0.116086,0.0115755,-0.317017
0.0426538,0.382046,0.384432,-0.0964096,-0.112584,-0.0477976,-0.304923
