Elapsed Time,Motor0 Position,Motor1 Position,Motor0 Velocity,Motor1 Velocity,Motor Torque 0,Motor Torque 1
1.67e-07,0,0,0,0,0,0
0.000296313,0,0,0,0,0,0
0.00049057,0.380775,0.389734,-0.010341,0.00455116,-0.0022912,0.573643
0.00211919,0.380859,0.389784,0.0295308,0.0226896,-0.0514218,-0.0570605
0.00345032,0.381037,0.389919,0.0810469,0.0623453,-0.549247,-0.525417
0.00474996,0.381131,0.389961,0.0762902,0.0414725,-0.817951,-0.801678
0.00611964,0.380897,0.389694,-0.0597495,-0.0864242,-0.868051,-0.844468
0.00745083,0.380338,0.389129,-0.248579,-0.266076,-0.856296,-0.849026
0.00874365,0.379573,0.388201,-0.428904,-0.480683,-0.866106,-0.85649
0.0101181,0.378439,0.386928,-0.635993,-0.714292,-0.842953,-0.824091
0.0114522,0.376949,0.385503,-0.87005,-0.920651,-0.880678,-0.812855
0.0127466,0.375298,0.383603,-1.0919,-1.16114,-0.892979,-0.91238
0.0140785,0.37324,0.38183,-1.2982,-1.27861,-0.901645,-1.05376
0.0153716,0.371405,0.380451,-1.37362,-1.1177,-0.93692,-1.08819
0.0167021,0.36973,0.379964,-1.29315,-0.759272,-0.988973,-0.975405
0.0179979,0.368634,0.379656,-1.08518,-0.49516,-0.986445,-0.84476
0.0193264,0.367863,0.378943,-0.809115,-0.541778,-0.975887,-0.830315
0.0206263,0.367311,0.3778,-0.63357,-0.696184,-0.905704,-0.874538
0.0220013,0.366648,0.376564,-0.556996,-0.802981,-0.88968,-0.882402
0.0233703,0.365701,0.375175,-0.629641,-0.91015,-0.886919,-0.892072
0.0247383,0.364516,0.373686,-0.74801,-1.0002,-0.867958,-0.930795
0.0261162,0.36323,0.372164,-0.847302,-1.05435,-0.903853,-0.932552
0.0274547,0.36194,0.370819,-0.892482,-1.06498,-0.914383,-0.922182
0.0287471,0.360737,0.369508,-0.927971,-1.00602,-0.912977,-0.938889
0.0300789,0.359333,0.368399,-0.977756,-0.949634,-0.905383,-0.905591
0.0313732,0.357911,0.367107,-1.05545,-0.95194,-0.927241,-0.88607
0.0327039,0.356239,0.365715,-1.14158,-1.03389,-0.873664,-0.896128
0.0339953,0.354638,0.363906,-1.21267,-1.18275,-0.905081,-0.87939
0.035328,0.352842,0.362102,-1.25776,-1.30603,-0.91401,-0.895315
0.0366215,0.351253,0.360159,-1.25968,-1.35809,-0.965451,-0.936505
0.0379977,0.349619,0.358374,-1.22133,-1.32442,-0.951757,-0.939861
0.0393644,0.348181,0.356645,-1.12939,-1.29035,-0.918582,-0.914763
0.0407032,0.346939,0.355049,-1.01329,-1.28347,-0.90865,-0.863924
0.0420168,0.345657,0.353286,-0.971247,-1.28267,-0.891705,-0.892111
0.0433723,0.344379,0.351449,-0.997344,-1.31197,-0.763978,-0.917143
0.0447032,0.342763,0.349764,-1.09181,-1.32938,-0.639629,-0.949225
0.0459982,0.341121,0.347955,-1.19993,-1.32441,-0.260162,-0.867775
0.0473278,0.339312,0.346355,-1.25383,-1.30224,-0.0531521,-0.634666
0.0486222,0.337878,0.344709,-1.19906,-1.24299,0.00432208,-0.643917
0.0499909,0.33648,0.34317,-1.10126,-1.18179,0.0273969,-0.386313
